groundTruth,predicted
"
US Foodservice, 50202300.0, ","
US Foodservice, 50202300.0, "
"
Dental Supplies, Industrial Manufacturing and Processing Machinery and Accessories, ","
Dental Supplies, Industrial Manufacturing and Processing Machinery and Accessories, "
"
1-14-84-07, $275.00, ","
1-14-84-07, $275.00, "
"
California Emergency Management Agency, 17845.0, NO, 43221700.0, ","
California Emergency Management Agency, 10741.0, NO, 43221700.0, "
"
","
"
"
4500192641, ","
4500200518, "
"
nan, SB/DVBE Option, Walk in freezers, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
nan, Informal Competitive, Walk in freezer, Material Handling and Conditioning and Storage Machinery and their Accessories and Suppl"
"
TO MAINTAIN CLEAN HYGIENE ON ""GOING FIRE"". CA-MEU-008882., $2050.00, 56122000.0, Furniture and Furnishings, ","
PORTABLE SINK, $2050.00, 56122000.0, Furniture and Furnishings, 

### Response:
PORTABLE SINK TO COVER"
"
nan, 31201500.0, Adhesives and sealants, 92647
(33.723965, -118.006519), ","
nan, 31201500.0, Adhesives and sealants, 92647
(33.723965, -118.006519), "
"
Contract, $9242.64, 86000000.0, ","
health career conference, $9242."
"
73529, Cleaning and janitorial supplies, ","
73529, Cleaning and janitorial supplies, "
"
NON-IT Goods, nan, Corrections and Rehabilitation, Department of, 42281500.0, 42280000.0, ","
NON-IT Goods, nan, Corrections and Rehabilitation, Department of, 42281500.0, 42280000.0, "
"
95742, NO, $6.47, ","
95742, NO, $1.85, "
"
Granite Data Solutions, ","
Granite Data Solutions, "
"
09/21/2012, Correctional Health Care Services, 1001584.0, 95691, 1.0, $2341.52, 55121700.0, ","
09/24/2012, Corrections and Rehabilitation, Department of, 1001584.0, 95691, 1.0, $2341.52, "
"
nan, NON-IT Goods, General Services, Department of, ","
nan, NON-IT Goods, General Services, Department of, "
"
80122001, nan, ","
80122001, nan, "
"
09/10/2012, nan, 72141205, ","
08/22/2012, nan, 72141205, "
"
Statewide Contract, ","
Statewide Contract, "
"
2013-2014, Services are specifically exempt by statute, Compensated legal participation services, ","
2013-2014, Services are specifically exempt by statute, Compensated legal participation services, "
"
Management and Business Professionals and Administrative Services, ","
Management and Business Professionals and Administrative Services, "
"
nan, NO, ","
nan, NO, "
"
nan, 85130000.0, ","
nan, 85130000.0, "
"
SB/DVBE Option, 40' X 9'6"" SEA TRAINS, RECONDITIONED, 40' X 9'6"" SEA TRAINS, RECONDITIONED, Prefabricated structures, ","
SB/DVBE Option, Storage shed, Storage shed, Prefabricated structures, 
        
         "
"
nan, nan, 50110000.0, Meat and poultry products, Food Beverage and Tobacco Products, ","
nan, nan, 50110000.0, Meat and poultry products, Food Beverage and Tobacco Products, "
"
nan, 1.0, ","
nan, 1.0, "
"
NO, $126.00, ","
NO, $112.00, "
"
Rubber tape, ","
TAPE, SYNTHET"
"
Ablegov, Inc., Network cable, ","
Ablegov, Inc., Network cable, "
"
09/04/2014, 5-13-89-15, 1.0, $594.51, nan, ","
09/04/2014, 5-13-89-15, 1.0, $594.51, nan, "
"
06/01/2014, confidential, ","
02/24/2014, confidential, "
"
09/27/2012, 95628, ","
09/26/2012, 95628, "
"
nan, Corrections and Rehabilitation, Department of, potatoes, diced, flake, $11567.60, 50425601.0, ","
nan, Corrections and Rehabilitation, Department of, potatoes, diced, flake, $11567.60, 50425601.0, "
"
5.0, $4.00, 31161807, ","
2.0, $3.00, 31161807, "
"
42240000.0, ","
42240000.0, "
"
NON-IT Goods, nan, State Programs, nan, Fuel for Equip. 10R053, $572.26, ","
NON-IT Goods, nan, State Programs, nan, Fuel for Equip. 10R053, $572.26, "
"
nan, ","
nan, "
"
15121501
15121503
15121504
15121508, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, ","
15121501, Fuels and Fuel Additives and Lubricants and Anti corrosive Materials, 

### Response:
15121501, F"
"
nan, 76122402, Equipment usage fee, nan, ","
nan, 76122402, Equipment usage fee, nan, "
"
NON-IT Services, Medical vocational training services, 86101600.0, 86100000.0, 86000000.0, ","
NON-IT Services, Medical vocational training services, 86101600.0, 86100000.0, 86000000.0, "
"
10/30/2013, nan, paint, traffic, $245804.22, Manufacturing Components and Supplies, ","
10/29/2013, nan, paint, traffic, $245804.22, Manufacturing Components and Supplies, "
"
2014-2015, 1026437.0, 95758, $1500.00, $1500.00, ","
2014-2015, 1000534.0, 95758, $1000.00, $1000.00, "
"
VEST,SAFETY,HIGH VIS,FLUOR YLW,SM/MD, 73529
(34.361458, -97.971748), ","
VEST,SAFETY,HIGH VIS,FLUOR YLW,SM/MD, 73529
(34.361458, -97.9717"
"
02/02/2015, 4500267686, Informal Competitive, 1.0, 40171511, 95742
(38.585855, -121.217204), ","
02/02/2015, 4500269194, SB/DVBE Option, 1.0, 40171511, 95742
(38.585855, -"
"
NON-IT Services, General Services, Department of, NO, Various Painting Projects at the Capitol, $150000.00, 73000000.0, ","
NON-IT Services, General Services, Department of, NO, Various Painting Projects at the Capitol, $150000.00, 73000000.0, "
"
1729526.0, ","
1729526.0, "
"
NON-IT Goods, 18170.0, 4 ton hydraulic jack set, $425.00, 93312
(35.39414, -119.121133), ","
NON-IT Goods, 24903.0, 4 ton hydraulic jack set, $425.00, 93312
(35.39414, -119.121133),"
"
12/16/2014, 40-64-25, NO, 44121704, Office supplies, ","
12/23/2014, 50-64-98, NO, 44121704, Office supplies, "
"
Dust brushes or pans, ","
Floor cleaning supplie"
"
SHADE & PUTNAM TECHNOLOGY SOLUTIONS, NO, Information Technology Broadcasting and Telecommunications, ","
JAMES E MALONEY, NO, Information Technology Broadcasting and Telecommunications, 

### Response:
JAME"
"
Maintenance for 5 Sharp Copiers, Maintenance or support fees, Software maintenance and support, Computer services, ","
Maintenance, Maintenance or support fees, Software maintenance and support, Computer services, 

### Response:
Main"
"
Refuse disposal and treatment fees, ","
Refuse disposal and treatment fees, "
"
WSCA/Coop, ","
WSCA/Coop, "
"
04/01/2014, 53101502
53101602
53101802
53102402
53102504
53111501
53111601, 53101500.0, ","
06/24/2014, 53101502
53101602
53102402, 53101500.0,  

### Response:
06/24/"
"
Sr. (SQL) database administrative services, 80110000.0, Human resources services, ","
SQL Administrator, 80110000.0, Human resources services, 

### Response:
SQL Admin"
"
05/08/2013, 04/25/2013, 25984.0, ","
06/19/2013, 06/19/2013, 25984.0, "
"
01/28/2013, 73529
(34.361458, -97.971748), ","
05/29/2013, 73529
(34.361458, -97.971748), "
"
nan, Voyager Fleet Systems Inc, ","
nan, Voyager Fleet Systems Inc, "
"
2013-2014, nan, NON-IT Goods, SB/DVBE Option, 44121801.0, Office Equipment and Accessories and Supplies, ","
2013-2014, nan, NON-IT Goods, SB/DVBE Option, 44121801.0, Office Equipment and Accessories and Supplies, "
"
10/03/2013, nan, nan, nan, Informal Competitive, Sara Lee (Earthgrains), nan, ","
09/04/2013, 1-13-89-59, nan, nan, Statewide Contract, Sara Lee (Earthgrains), "
"
14111821.0, ","
14111821.0, "
"
nan, McArthur Farm Supply Inc., Commercial and Military and Private Vehicles and their Accessories and Components, ","
nan, McArthur Farm Supply Inc., Commercial and Military and Private Vehicles and their Accessories and Components, "
"
CF140541, 1000530.0, ","
CF140541, 1000530.0, "
"
State Programs, Fleet, Transportation repair or maintenance services, ","
State Programs, Fleet, Transportation repair or maintenance services, "
"
03/02/2015, CYLINDER,AIR,8Ã¢ÂÂ,MILLER #A63B2R-8.00-5.25, 24111802.0, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
03/03/2015, CYLINDER,AIR,8â,MILLER #A63B2R-8.00-5.25, 24"
"
14C-1837, nan, $46149.00, 83000000.0, ","
14B-5048, nan, $46149.00, 83000000.0, "
"
Horizon Business Solutions, Inc., 95361, ","
Horizon Business Solutions, Inc., 95361, "
"
nan, 15101506.0, ","
nan, 15101506.0, "
"
86100000.0, Education and Training Services, ","
86100000.0, Education and Training Services, "
"
52121705.0, Domestic Appliances and Supplies and Consumer Electronic Products, ","
52121705.0, Domestic Appliances and Supplies and Consumer Electronic Products, "
"
1008361.0, $4874.24, 56101715.0, ","
1008361.0, $2957.76, 56101715.0, "
"
NON-IT Goods, NO, ","
NON-IT Goods, NO, "
"
nan, NO, ","
nan, NO, "
"
2014-2015, $550000.00, 50000000.0, ","
2014-2015, $550000.00, 50000000.0, "
"
nan, Labor (Body Repair), 1.0, Refuse disposal and treatment, ","
nan, Labor (Body Repair) #1 for BLS, 1.0, Refuse disposal and "
"
Formal Competitive, Emergency medical services storage cases and bags, ","
Services are specifically exempt by statute, Emergency medical services"
"
Polycom Phones, 43191500.0, Personal communication devices, 43190000.0, 95670
(38.603182, -121.278912), ","
Polycom soundpoint IP670 desktop phones from Verizon, 43191500.0, Personal communication devices, 431900"
"
95815, 49141505
49141507
49141508, Sports and Recreational Equipment and Supplies and Accessories, ","
95815, 49141505, Sports and Recreational Equipment and Supplies and Accessories, 

### Response:
95"
"
D8T18AV Integrated Fingerprint Reader, 43211503.0, Information Technology Broadcasting and Telecommunications, ","
D8T18AV Integrated Fingerprint Reader, 43211503.0, Information Technology Broadcasting and Telecommunications, "
"
4726.0, EXPRESS Office Products, Inc., ","
29177.0, Garza Industries, Inc, ~~Signa"
"
nan, 30265802.0, 30260000.0, ","
nan, 30265802.0, 30260000.0, "
"
1001584.0, Grainger Industrial Supply, nan, 2.0, Mineral and Textile and Inedible Plant and Animal Materials, ","
1001584.0, Grainger Industrial Supply, nan, 60.0, Mineral and Textile and Inedible Plant and Animal Materials,"
"
$140000.00, Public institutions services, ","
$140000.00, Public institutions services, "
"
nan, NOR CAL PERFORMANCE, Vehicle maintenance and repair services, ","
nan, NOR CAL PERFORMANCE, Vehicle maintenance and repair services, "
"
nan, nan, Seeds and bulbs and seedlings and cuttings, Live Plant and Animal Material and Accessories and Supplies, ","
nan, nan, Seeds and bulbs and seedlings and cuttings, Live Plant and Animal Material and Accessories and Supplies, "
"
W0001264, 1.0, 27110000.0, ","
W0001175, 1.0, 27110000.0, "
"
NON-IT Goods, ","
NON-IT Goods, "
"
78120000.0, Transportation and Storage and Mail Services, ","
78120000.0, Transportation and Storage and Mail Services, "
"
nan, ","
nan, "
"
Services are specifically exempt by statute, Services are specifically exempt by statute, nan, Vocational training, nan, ","
Services are specifically exempt by statute, Services are specifically exempt by statute, nan, Vocational training, nan, "
"
NON-IT Goods, Informal Competitive, CA-MB CA-SB, NO, office supplies, 24101500.0, ","
NON-IT Goods, Informal Competitive, CA-MB CA-SB, NO, FellowesPartitionAddition 3Fi"
"
nan, nan, 46000000.0, ","
nan, nan, 46000000.0, "
"
50402002.0, Food Beverage and Tobacco Products, ","
50402002.0, Food Beverage and Tobacco Products, "
"
Services are specifically exempt by statute, ","
Informal Competitive, 
nan,                  "
"
nan, Integrated circuits, ","
nan, Integrated circuits, "
"
nan, Industrial Relations, Department of, $4.49, Paper products, ","
nan, Industrial Relations, Department of, $21.29, Paper products,"
"
NON-IT Goods, ","
NON-IT Goods, "
"
92870
(33.881785, -117.85529), ","
92870
(33.881785, -117.85529), "
"
nan, nan, ","
nan, nan, "
"
Hewlett-Packard Company, System Config. Level 2, ","
Ingenuity Technologies, Inc., System Configuratio"
"
NON-IT Goods, ASD Healthcare, nan, $20283.60, Drugs and Pharmaceutical Products, ","
NON-IT Goods, ASD Healthcare Supplier Zip Code 75034
(33.127248, -96.855555), 

#"
"
$18735.39, Manufacturing equipment maintenance and repair services, ","
$18735.39, Manufacturing equipment maintenance and repair services, "
"
01/12/2015, Grainger Industrial Supply, nan, Industrial process machinery and equipment and supplies, 23000000.0, ","
01/09/2015, Grainger Industrial Supply, nan, Industrial process machinery and equipment and supplies, 23000000.0, "
"
30220000.0, Structures and Building and Construction and Manufacturing Components and Supplies, ","
30220000.0, Structures and Building and Construction and Manufacturing Components and Supplies, "
"
Correctional Health Care Services, nan, Cheese, ","
Correctional Health Care Services, nan, Cheese, "
"
Consumer Affairs, Department of, NO, 91324
(34.239004, -118.549618), ","
Consumer Affairs, Department of, NO, 91324
(34.239004, -118.549618), "
"
nan, 1.0, ","
nan, 1.0, "
"
Water Resources, Department of, nan, Misc. for Equip. 06S134, ","
Water Resources, Department of, nan, Misc. for Equip. 06S134, "
"
2014-2015, NON-IT Goods, CA-MB CA-SB, ","
2014-2015, NON-IT Goods, CA-MB CA-SB, "
"
Consumer Affairs, Department of, Kingston DataTraveler Vault-Privacy Edition-USB Flash Drive-8 GB-USB 2.0-Blue, Kingston Data Traveler Vault, ","
Consumer Affairs, Department of, External Hard Drive Drive, External Hard Drive,                        "
"
46201102, ","
46201102
4"
"
2355.18, $1.94, 93306
(35.400031, -118.909275), ","
35.0, $1.10, 93306
(35.400031, -118.909275), 

#"
"
2014-2015, $0.00, 72000000.0, ","
2014-2015, $0.00, 72000000.0, "
"
06/24/2014, 14-05-0059, nan, utencils, 52151701, Domestic flatware and cutlery, ","
07/01/2014, 14-501-0023, nan, utencils, 52151701, Domestic flatware and cutlery,"
"
2012-2013, 4500188473, Water Resources, Department of, 2CYH4, $6.97, Cleaning and janitorial supplies, ","
2012-2013, 4500148359, Corrections and Rehabilitation, Department of, CLEANER,FLOOR, 1 GAL CONTAINER, $"
"
08/14/2013, $9.32, 95691
(38.575311, -121.560401), ","
08/14/2013, $9.32, 95691
(38.575311, -121.560401), "
"
4500256306, nan, Industrial refrigerators, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, ","
4500256367, nan, Industrial refrigerators, Material Handling and Conditioning and Storage Machinery and their Accessories and Supplies, "
"
medical vocational training, ","
medical vocational training, "
"
2013-2014, IT Goods, 1012484.0, 93111, Support Software, 1.0, ","
2013-2014, IT Services, 1389400.0, 93111, software maintenance"
"
06/12/2015, 06/30/2015, NON-IT Services, 0.0, NO, 86100000.0, ","
06/15/2015, 06/16/2015, NON-IT Services, 0.0, NO, 86100000.0, "
"
CA-MB CA-SB CA-SBE, Information technology consultation services, Management and Business Professionals and Administrative Services, ","
CA-MB CA-SB CA-SBE, Information technology consultation services, Management and Business Professionals and Administrative Services, "
"
nan, 4500213347, ","
nan, 4500213594, "
"
09/27/2012, 95696, $9774.77, Furniture, ","
09/27/2012, 95696, $9774.77, Furniture, "
"
44103103, Office Equipment and Accessories and Supplies, ","
44103103, Office Equipment and Accessories and Supplies, "
"
NON-IT Goods, NO, Passenger motor vehicles, ","
NON-IT Goods, NO, Passenger motor vehicles, "
"
2012-2013, Fleet, Voyager Fleet Systems Inc, Fuel for Equip. 04S244, 1.0, 78180301, Transportation repair or maintenance services, ","
2012-2013, Fleet, Voyager Fleet Systems Inc, Fuel for Equip. 04S244, 1.0, 78180301, Transportation repair or maintenance services, "
"
Pesticide Regulation, Department of, NO, 80161507.0, 80000000.0, 95814
(38.580427, -121.494396), ","
Highway Patrol, California, NO, 80161507.0, 80000000.0, 95814
(38.580427, -121.494396), 
"
"
NON-IT Services, Transportation, Department of, $14526.00, ","
NON-IT Services, Transportation, Department of, $14526.00, "
"
81110000.0, Engineering and Research and Technology Based Services, ","
81110000.0, Engineering and Research and Technology Based Services, "
"
Information Technology Equipment, ","
Software, 
Software,  
### Respons"
"
2012-2013, McAfee licenses, ","
2012-2013, McAfee licenses, "
"
01/17/2014, SN353103, Shelf stable plain pasta or noodles, Plain pasta and noodles, ","
04/30/2014, SN353049, Shelf stable plain pasta or noodles, Plain pasta and noodles, "
"
Ink cartridges, ","
Printer or facsi"
"
nan, nan, NO, ","
nan, nan, NO, "
"
04/11/2013, nan, 95361, Label protectors, 55121600.0, ","
04/15/2013, nan, 95361, Label protectors, 55121600.0, "
"
nan, Blister packaging, $1865.00, 24141500.0, 24000000.0, ","
nan, Blister packaging, $1865.00, 24141500.0, 24000000.0, "
"
","
"
"
2012-2013, nan, 81000000.0, ","
2012-2013, nan, 81000000.0, "
"
09/26/2013, 4500201003, CA-DVBE CA-MB CA-SB CA-SBE CDVBE SB SDVOSB, ","
09/26/2013, 4500201015, CA-DVBE CA-MB CA-SB CA-SBE CDVBE SB SDVOSB, "
"
04/28/2014, $24.95, Fuels, 15000000.0, ","
05/28/2014, $24.95, Fuels, 15000000.0, "
"
1755386.0, $3.00, Computer Equipment and Accessories, ","
1755386.0, $3.00, Computer Equipment and Accessories, "
"
2013-2014, NON-IT Goods, Galls, LLC, Vehicle headlight, 25000000.0, ","
2013-2014, NON-IT Goods, Pacific Auto Parts, Inc., Exterior automobi"
"
nan, Industrial Cleaning Services, ","
nan, Industrial Cleaning Services, "
"
nan, Innovation Data Processing, Inc., ","
nan, California Technology Agency,   J&"
"
CA-SB, 50000000.0, ","
CA-SB, 50000000.0, "
"
02/03/2014, 4500217883, NON-IT Goods, ","
02/04/2014, 4500206985, NON-IT Goods, "
"
2013-2014, nan, Highway Patrol, California, 72151207.0, Heating and cooling and air conditioning HVAC installation and maintenance service, Heating and cooling and air conditioning HVAC construction and maintenance services, Specialized trade construction and maintenance services, 72000000.0, ","
2013-2014, nan, Highway Patrol, California, 72151207.0, HVAC ventilation and duct work construction service, Heating and cooling and air conditioning HVAC construction"
"
05/28/2013, nan, nan, Forestry and Fire Protection, Department of, Fire Service Specification & Supply, ","
04/21/2013, nan, nan, Forestry and Fire Protection, Department of, Gallatin Helicopters,  LLC,  P/N:  W0"
"
06/12/2015, ","
04/20/2015, "
"
Public administration, ","
Public administration, "
"
4500277373, nan, 20330.0, $5232.00, 50111522
50131802, ","
4500279526, nan, 20330.0, $5232.00, 50111522,  

### Re"
"
Corrections and Rehabilitation, Department of, Baking mixes and supplies, ","
Corrections and Rehabilitation, Department of, Baking mixes and supplies, "
"
nan, ","
nan, "
"
IT Services, Correctional Health Care Services, $59.98, 44102414, 44102400.0, Office machines and their supplies and accessories, 95742
(38.585855, -121.217204), ","
NON-IT Goods, Correctional Health Care Services, $59.98, 44102414, 44102400.0, Office machines and their supplies and accessories, 95742
("
"
nan, Fair and Reasonable, $2729.50, 44121504.0, Mailing supplies, ","
nan, Fair and Reasonable, $2729.50, 44121504.0, Mailing supplies, "
"
nan, SN353076, nan, Fair and Reasonable, Knife blades, ","
nan, SN353029, nan, Fair and Reasonable, Pad jigs,     "
"
95742
(38.585855, -121.217204), ","
95742
(38.585855, -121.217204), "
"
nan, Propane, 15111501, Propane, ","
nan, Blanket PAPO, 15111501, Prop"
"
nan, Pesticide Regulation, Department of, 1.0, 14111514
44121708
44122011, Printing and writing paper, Paper Materials and Products, ","
nan, Pesticide Regulation, Department of, 1.0, 14111514
14111530
14111531
26111702
44111905
"
"
Emergency Contract, Emergency Purchase, Forestry and Fire Protection, Department of, John Roen, nan, ","
Emergency Contract, Emergency Purchase, Forestry and Fire Protection, Department of, los angeles city"
"
nan, JAMES E MALONEY, 91403, 44101500.0, ","
nan, JAMES E MALONEY, 91403, 44101500.0, "
"
Statewide Contract, nan, nan, ","
Statewide Contract, nan, nan, "
"
REQ0012193, Prison Industry Authority (PIA), 1008361.0, 73529, 6.0, ","
REQ0012193, Prison Industry Authority (PIA), 1008361.0, 73529, 5.0, "
"
nan, $17192.00, ","
nan, $11888.00, "
"
$75000.00, Compensated legal participation services, 80000000.0, ","
$75000.00, Compensated legal participation services, 80000000.0, "
"
01/01/2015, 5600004942, Schneider Electric, ","
01/06/2015, 4500265960, Intuitive Health Ser"
"
2014-2015, 39121321, 94010
(37.570872, -122.364486), ","
2014-2015, 39121321, 94010
(37.570872, -122.364486), "
"
$35.00, Body armour, ","
$35.00, Body armour, "
"
nan, ","
nan, "
"
$10830.00, ","
$10830.00, "
"
13-30092, Personal Services, nan, 94952
(38.236012, -122.730241), ","
13-30118, Services are specifically exempt by statute, nan, 94952
"
"
04/08/2015, NO, State county local waste or recycle fee, ","
04/08/2015, NO, State county local waste or recycle fee, "
"
nan, Fair and Reasonable, 92154, Apparatus, 42270000.0, ","
nan, Emergency Purchase, 92154, Fire Suppression, 422700"
"
06/19/2014, nan, Manufacturing support services, 95834
(38.641743, -121.516646), ","
06/19/2014, nan, Manufacturing support services, 95834
(38.641743, -121.516646), "
"
02/24/2015, nan, 1 PLY, WHITE, 1210 SHEETS/ROLL,
 80 ROLLS/CASE, 4"" X 4.05""
 INDIVIDUALLY WRAPPED, Toilet tissue, ","
02/24/2015, nan, TOILET PAPER, Toilet tissue,  Toilet tissue,  Toilet tissue,  Toilet tissue,  Toilet tissue,"
"
08/09/2013, 08/06/2013, Statewide Health Planning & Development, Office of, JAMA subscription, ","
06/20/2014, 06/19/2014, Statewide Health Planning & Development, Office of, subscription to the"
"
nan, nan, ","
nan, nan, "
"
09/12/2013, 4500198529, nan, 91355, ","
09/13/2013, 4500197804, nan, 91355, "
"
IT Goods, 1494080.0, nan, $10812.20, 43000000.0, ","
IT Goods, 1494080.0, nan, $10709.20, 43000000.0, "
"
Dental Prosthetics, 1.0, Medical Equipment and Accessories and Supplies, ","
Prosthetics, 1.0, Medical Equipment and Accessories and Supplies, 

### R"
"
08/26/2013, nan, NO, ","
08/26/2013, nan, NO, "
"
85121808.0, ","
85121808.0, "
"
04/21/2014, 1-13-70-02B, nan, NO, ","
01/29/2014, 1-13-70-02A, nan, NO, "
"
03/26/2013, NO, potatoe hash brown, Sweet potatoes, 50400000.0, ","
03/26/2013, NO, Hash Browns, Potatoes, 50400000.0, 

### Respons"
"
10/02/2012, NO, ","
07/01/2012, NO, "
"
nan, 4500153018, nan, 1022580.0, ","
nan, 4500152462, nan, 1016560.0, "
"
2.0, Printer or facsimile toner, 44103100.0, ","
4.0, Printer or facsimile toner, 44103100.0, "
"
01/23/2013, 4500151384, nan, NO, 50000000.0, 93706
(36.675079, -119.865393), ","
09/14/2012, 4500151474, nan, NO, 50000000.0, 93706
(36.675079, -119.865393), "
"
2014-2015, NON-IT Services, 83101902.0, ","
2014-2015, NON-IT Services, 83101902.0, "
"
39120000.0, ","
39120000.0, "
"
Timepieces and Jewelry and Gemstone Products, ","
Timepieces and Jewelry and Gemstone Products, "
"
California Technology Agency, 11033.0, ","
California Technology Agency, 1196900.0"
"
Food and Agriculture, Department of, 44000000.0, ","
Food and Agriculture, Department of, 44000000.0, "
"
nan, System and system component administration services, 81110000.0, nan, ","
nan, System and system component administration services, 81110000.0, nan, "
"
","
"
"
","
"
"
08/28/2012, 2012-2013, Corrections and Rehabilitation, Department of, 19621.0, 50000000.0, ","
08/27/2012, 2012-2013, Corrections and Rehabilitation, Department of, 19621.0, 50000000.0, "
"
nan, nan, 44102101, Office machines and their supplies and accessories, ","
nan, nan, 44102101
44102109, Office machines and their supplies and acce"
"
nan, Personal Services, NO, ","
nan, Personal Services, NO, "
"
7-11-51-02, $3700.93, 11000000.0, ","
7-11-51-02, $53.58, 11000000.0, 

"
"
94080, 2.0, $8.12, ","
94080, 1.0, $16.24,"
"
2013-2014, Statewide Health Planning & Development, Office of, ","
2013-2014, Statewide Health Planning & Development, Office of, "
"
13548186, ","
13482077, "
"
2012-2013, 95076, peas, green, 55lb/cs, Frozen green peas, ","
2012-2013, 95076, green peas, Frozen green peas,  Frozen gr"
"
2012-2013, nan, Apple Inc., Information Technology Broadcasting and Telecommunications, ","
2012-2013, nan, Taborda Solutions, Information Technology Broadcasting and Telecommunica"
"
2012-2013, $56.50, 43201824, Components for information technology or broadcasting or telecommunications, ","
2012-2013, $8.25, 43201824, Components for information technology or broadcasting or telecommunications, 
"
"
08/10/2012, 90213, Detector, opcon, Valves, ","
08/10/2012, 90213, Detector, opcon, Valves, "
"
2014-2015, $2.69, 11162108, 11162100.0, 11160000.0, ","
2014-2015, $3.25, 11162108, 11162100.0, 11160000.0, "
"
CA-MB CA-SB, ","
CA-MB CA-SB, "
"
","
"
"
95696, 1.0, $4675.00, ","
95696, 7.0, $768.00,  "
"
County of San Benito, 12-89211 A02, 85101705.0, ","
County of Tuolumne, 12-89211 A02, 85101705.0,   "
"
NO, ","
NO, "
"
nan, 25161507, Non motorized cycles, Commercial and Military and Private Vehicles and their Accessories and Components, ","
nan, 25161507, Motor vehicles, Commercial and Military and Private Vehicles and their Accessories and Components, 

### "
"
1755386.0, nan, $9765.30, 43210000.0, Information Technology Broadcasting and Telecommunications, ","
1755386.0, nan, $9765.30, 43210000.0, Information Technology Broadcasting and Telecommunications, "
"
IT Goods, nan, ","
IT Goods, nan, "
"
10/17/2014, State Programs, ","
10/30/2014, State Programs, "
"
5-13-89-15, 4500241772, NON-IT Goods, Packaging cans, ","
5-13-89-15, 4500241317, NON-IT Goods, Packaging cans, "
"
NO, Office supplies, 44000000.0, ","
NO, Office supplies, 44000000.0, "
"
nan, 93151512.0, 93000000.0, Politics and Civic Affairs Services, ","
nan, 93151512.0, 93000000.0, Politics and Civic Affairs Services, "
"
2319.0, Folders and binders and indexes, 44120000.0, ","
2319.0, Folders and binders and indexes, 44120000.0, "
"
Fair and Reasonable, Child Support Services, Department of, 15228.0, NO, 50.0, Dividers, Office supplies, Office Equipment and Accessories and Supplies, ","
Informal Competitive, Child Support Services, Department of, 15228.0, NO, 2.0, Dividers, Office supplies, Office Equipment and Accessories and Supplies, "
"
4500268994, CA-MB CA-SB, welding supplies, 1.0, Welding and soldering and brazing machinery and accessories and supplies, ","
4500268118, CA-MB CA-SB, welding supplies, 1.0, Welding and soldering and brazing machinery and accessories and supplies, "
"
Apprentice Program, ","
 Apprentice Program,"
"
05/19/2015, nan, CA-DVBE CA-SB, NO, ","
05/19/2015, nan, CA-SB, NO, 
 
### R"
"
","
"
"
CA-SBE, ","
nan, 
CA"
"
Information Technology Broadcasting and Telecommunications, ","
Information Technology Broadcasting and Telecommunications, "
"
nan, ","
nan, "
"
nan, nan, Motor Vehicles, Department of, nan, Furniture and Furnishings, ","
nan, nan, Motor Vehicles, Department of, nan, Furniture and Furnishings, "
"
07/25/2012, Ferrellgas, ","
07/25/2012, Ferrellgas L"
"
04/17/2015, CA-MB CA-SB, 6.0, 60102900.0, 60100000.0, ","
04/24/2015, CA-MB CA-SB, 4.0, 60102900.0, 60100000.0, "
"
NON-IT Goods, COOKIES, ASSORTED, 50181905, 50181900.0, ","
NON-IT Goods, COOKIES, ASSORTED, 50181905, 50181900.0, "
"
Department of General Services, nan, 14110000.0, ","
Department of General Services, nan, 14110000.0, "
"
95828
(38.484836, -121.399547), ","
95828
(38.484836, -121.399547), "
"
nan, CA-DVBE CA-SBE CDVBE, $43.06, Business function specific software, 43230000.0, ","
nan, CA-DVBE CA-SBE CDVBE, $10.02, Business function specific software, 43230000.0, "
"
","
"
"
07/31/2013, nan, NON-IT Services, Emergency Purchase, Veterans Affairs, Department of, Axiom Mobile Imaging, 94062-2810, 42152000.0, 42150000.0, ","
05/15/2014, nan, NON-IT Services, Emergency Purchase, Veterans Affairs, Department of, Betson Enterprises, Inc., 94062-2810, 42152000"
"
2013-2014, 25-Year Retirement Award, Howard Miller Wall Clock, $71.92, Wall clocks, ","
2013-2014, 25-Year Retirement Award, Howard Miller Wall Clock, $71.92, Wall clocks, "
"
nan, Misc. for Equip. 04S284, Gasoline or Petrol, ","
nan, Misc. for Equip. 04S284, Gasoline or Petrol, "
"
2014-2015, Unknown, $9.16, nan, ","
2014-2015, Unknown, $9.16, nan, "
"
43191510.0, Personal communication devices, ","
43191510.0, Personal communication devices, "
"
2013-2014, 1743406.0, nan, Fuel for Equip. 14R317, ","
2013-2014, 1743406.0, nan, Fuel for Equip. 14R317, "
"
nan, State Programs, Fuel for Equip. 07S666, Fuel for Equip. 07S666, 15101500.0, ","
nan, State Programs, Fuel for Equip. 13R253, Fuel for Equip. 13R253, 15101500.0, "
"
2012-2013, nan, 95361, ","
2012-2013, nan, 95361, "
"
06/07/2013, P.M.J Services, $38231.76, $38231.76, ","
01/28/2015, Williams & Associates Inc., $28700.00,"
"
Stainless Steel Scrubber 50 gm. 12ea/cs, $64.60, ","
Stripe Scrubber 50 gm. 12ea/cs, $50.60,          "
